Epoch 0 | Train Loss : 0.48304442822933197 | Val Loss : -0.1669141598045826
Epoch 1 | Train Loss : 0.264862605035305 | Val Loss : -0.18573212295770644
Epoch 2 | Train Loss : 0.19794405478984117 | Val Loss : -0.18492380201816558
Epoch 3 | Train Loss : 0.16347542002797127 | Val Loss : -0.16712036862969398
Epoch 4 | Train Loss : 0.13087188214994966 | Val Loss : -0.1722490231692791
Epoch 5 | Train Loss : 0.10556815189775079 | Val Loss : -0.1616522690653801
Epoch 6 | Train Loss : 0.07403747020172886 | Val Loss : -0.08405060544610024
Epoch 7 | Train Loss : 0.040454880393808706 | Val Loss : -0.06614644635468721
Epoch 8 | Train Loss : 0.003590731515432708 | Val Loss : -0.016430277982726692
Epoch 9 | Train Loss : -0.020597455306415213 | Val Loss : -0.018671643510460852
Best Train Loss | -0.020597455306415213 | Epoch 9
Best Val Loss | -0.18573212295770644 | Epoch 1
