Epoch 0 | Train Loss : 0.7074930971860885 | Val Loss : 0.3061840578913689
Epoch 1 | Train Loss : 0.7039496156573296 | Val Loss : 0.2945931662619114
Epoch 2 | Train Loss : 0.703610166311264 | Val Loss : 0.30229389667510986
Epoch 3 | Train Loss : 0.706652685701847 | Val Loss : 0.301813130825758
Epoch 4 | Train Loss : 0.6952086299657821 | Val Loss : 0.3013512809574604
Epoch 5 | Train Loss : 0.6835928317904473 | Val Loss : 0.2966526925563812
Epoch 6 | Train Loss : 0.6935163834691047 | Val Loss : 0.2993900345265865
Epoch 7 | Train Loss : 0.6846181988716126 | Val Loss : 0.29783221691846845
Epoch 8 | Train Loss : 0.6901774775981903 | Val Loss : 0.2972577413916588
Epoch 9 | Train Loss : 0.6829591000080109 | Val Loss : 0.3017811442911625
Best Train Loss | 0.6829591000080109 | Epoch 9
Best Val Loss | 0.2945931662619114 | Epoch 1
