Epoch 0 | Train Loss : 0.7022747457027435 | Val Loss : 0.2486763298511505
Epoch 1 | Train Loss : 0.689305562376976 | Val Loss : 0.22082147538661956
Epoch 2 | Train Loss : 0.6619925761222839 | Val Loss : 0.18139375403523444
Epoch 3 | Train Loss : 0.6329668787121773 | Val Loss : 0.12609784983098507
Epoch 4 | Train Loss : 0.601885714828968 | Val Loss : 0.060490621440112594
Epoch 5 | Train Loss : 0.5648872670531273 | Val Loss : -0.004943720933515579
Epoch 6 | Train Loss : 0.5289935484528542 | Val Loss : -0.055475788731127976
Epoch 7 | Train Loss : 0.5070405715703964 | Val Loss : -0.09102555125951767
Epoch 8 | Train Loss : 0.5001641821861267 | Val Loss : -0.11548922471702099
Epoch 9 | Train Loss : 0.4583077564835548 | Val Loss : -0.1323420276492834
Best Train Loss | 0.4583077564835548 | Epoch 9
Best Val Loss | -0.1323420276492834 | Epoch 9
