Epoch 0 | Train Loss : 8.043479175567628 | Val Loss : 8.737838497161865
Epoch 1 | Train Loss : 8.054816179275512 | Val Loss : 8.71399293899536
Epoch 2 | Train Loss : 8.046888260841369 | Val Loss : 8.708417119979858
Epoch 3 | Train Loss : 8.05586742401123 | Val Loss : 8.701597604751587
Epoch 4 | Train Loss : 8.0376460647583 | Val Loss : 8.697780694961548
Epoch 5 | Train Loss : 8.015515565872192 | Val Loss : 8.69920841217041
Epoch 6 | Train Loss : 8.073040084838867 | Val Loss : 8.70250274658203
Epoch 7 | Train Loss : 8.029978303909301 | Val Loss : 8.693058223724366
Epoch 8 | Train Loss : 8.049320955276489 | Val Loss : 8.696015014648438
Epoch 9 | Train Loss : 8.069740653038025 | Val Loss : 8.696322050094604
Best Train Loss | 8.015515565872192 | Epoch 5
Best Val Loss | 8.693058223724366 | Epoch 7
