Epoch 0 | Train Loss : 8.17948302268982 | Val Loss : 8.686956748962402
Epoch 1 | Train Loss : 8.192913556098938 | Val Loss : 8.676678733825684
Epoch 2 | Train Loss : 8.129806413650513 | Val Loss : 8.671393346786498
Epoch 3 | Train Loss : 8.085920038223266 | Val Loss : 8.670774230957031
Epoch 4 | Train Loss : 8.137495002746583 | Val Loss : 8.669776039123535
Epoch 5 | Train Loss : 8.161111207008362 | Val Loss : 8.668434190750123
Epoch 6 | Train Loss : 8.106624484062195 | Val Loss : 8.667190055847168
Epoch 7 | Train Loss : 8.096842484474182 | Val Loss : 8.66629677772522
Epoch 8 | Train Loss : 8.095140390396118 | Val Loss : 8.662671308517456
Epoch 9 | Train Loss : 8.108764410018921 | Val Loss : 8.660059700012207
Best Train Loss | 8.085920038223266 | Epoch 3
Best Val Loss | 8.660059700012207 | Epoch 9
